,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
7388,47,2021-06-24,53,0.0,1834.0,55.0,,,
7389,46,2021-06-24,104,2.0,2061.0,175.0,,,
7390,35,2021-06-24,296,6.0,27364.0,384.0,,,
7391,24,2021-06-24,96,4.0,21884.0,112.0,,,
7392,10,2021-06-24,0,0.0,938.0,6.0,,,
7393,13,2021-06-24,2,0.0,563.0,5.0,,,
7394,12,2021-06-24,5,0.0,3560.0,6.0,,,
7395,11,2021-06-24,0,0.0,283.0,0.0,,,
7396,60,2021-06-24,4,1.0,0.0,-3.0,,,
7397,61,2021-06-24,0,0.0,67.0,0.0,,,
7398,62,2021-06-24,0,0.0,57.0,0.0,,,
7399,99,2021-06-24,0,0.0,0.0,0.0,,,
7400,1,2021-06-24,708,17.0,70980.0,991.0,,,
7401,59,2021-06-25,72,2.0,5910.0,88.0,,,
7402,48,2021-06-25,81,2.0,5715.0,0.0,,,
7403,47,2021-06-25,54,0.0,1812.0,52.0,,,
7404,46,2021-06-25,82,1.0,2294.0,164.0,,,
7405,35,2021-06-25,256,2.0,29514.0,293.0,,,
7406,24,2021-06-25,88,0.0,18135.0,178.0,,,
7407,10,2021-06-25,0,0.0,634.0,0.0,,,
7408,13,2021-06-25,1,0.0,621.0,3.0,,,
7409,12,2021-06-25,16,0.0,3911.0,15.0,,,
7410,11,2021-06-25,0,0.0,285.0,0.0,,,
7411,60,2021-06-25,18,0.0,0.0,13.0,,,
7412,61,2021-06-25,0,0.0,50.0,0.0,,,
7413,62,2021-06-25,0,0.0,57.0,0.0,,,
7414,99,2021-06-25,0,0.0,0.0,0.0,,,
7415,1,2021-06-25,668,7.0,68938.0,806.0,,,
7416,59,2021-06-26,57,0.0,6424.0,0.0,,,
7417,48,2021-06-26,64,0.0,0.0,0.0,,,
7418,47,2021-06-26,62,1.0,1905.0,71.0,,,
7419,46,2021-06-26,105,3.0,2308.0,220.0,,,
7420,35,2021-06-26,346,13.0,26561.0,503.0,,,
7421,24,2021-06-26,0,0.0,0.0,0.0,,,
7422,10,2021-06-26,0,0.0,972.0,0.0,,,
7423,13,2021-06-26,1,0.0,553.0,6.0,,,
7424,12,2021-06-26,11,0.0,3357.0,9.0,,,
7425,11,2021-06-26,0,0.0,254.0,0.0,,,
7426,60,2021-06-26,22,0.0,0.0,17.0,,,
7427,61,2021-06-26,0,0.0,18.0,0.0,,,
7428,62,2021-06-26,0,0.0,29.0,0.0,,,
7429,99,2021-06-26,0,0.0,0.0,0.0,,,
7430,1,2021-06-26,668,17.0,42381.0,826.0,,,
7431,59,2021-06-27,36,0.0,0.0,0.0,,,
7432,48,2021-06-27,33,2.0,0.0,0.0,,,
7433,47,2021-06-27,48,0.0,1295.0,96.0,,,
7434,46,2021-06-27,97,1.0,0.0,129.0,,,
7435,35,2021-06-27,287,12.0,0.0,379.0,,,
7436,24,2021-06-27,0,0.0,0.0,0.0,,,
7437,10,2021-06-27,0,0.0,0.0,0.0,,,
7438,13,2021-06-27,1,0.0,673.0,9.0,,,
7439,12,2021-06-27,3,0.0,4118.0,7.0,,,
7440,11,2021-06-27,0,0.0,0.0,0.0,,,
7441,60,2021-06-27,0,0.0,0.0,0.0,60.0,2021-06-27,1.0
7442,61,2021-06-27,0,0.0,0.0,0.0,,,
7443,62,2021-06-27,0,0.0,0.0,0.0,,,
7444,99,2021-06-27,0,0.0,0.0,0.0,,,
7445,1,2021-06-27,505,15.0,6086.0,620.0,,,
7446,59,2021-06-28,38,5.0,9708.0,294.0,,,
7447,48,2021-06-28,31,2.0,0.0,526.0,,,
7448,47,2021-06-28,17,0.0,976.0,98.0,,,
7449,46,2021-06-28,61,0.0,3174.0,87.0,,,
7450,35,2021-06-28,210,3.0,44150.0,326.0,,,
7451,24,2021-06-28,254,1.0,47042.0,393.0,,,
7452,10,2021-06-28,1,0.0,1225.0,2.0,,,
7453,13,2021-06-28,1,0.0,672.0,0.0,,,
7454,12,2021-06-28,3,0.0,3267.0,4.0,,,
7455,11,2021-06-28,0,0.0,479.0,0.0,,,
7456,60,2021-06-28,44,0.0,0.0,0.0,,,
7457,61,2021-06-28,0,0.0,49.0,0.0,,,
7458,62,2021-06-28,0,0.0,114.0,0.0,,,
7459,99,2021-06-28,0,0.0,0.0,0.0,,,
7460,1,2021-06-28,660,11.0,110856.0,1730.0,,,
7461,59,2021-06-29,29,0.0,3664.0,83.0,,,
7462,48,2021-06-29,61,0.0,22232.0,186.0,,,
7463,47,2021-06-29,52,2.0,1425.0,54.0,,,
7464,46,2021-06-29,61,0.0,1575.0,107.0,,,
7465,35,2021-06-29,299,25.0,13071.0,371.0,,,
7466,24,2021-06-29,71,4.0,15365.0,123.0,,,
7467,10,2021-06-29,0,0.0,561.0,1.0,,,
7468,13,2021-06-29,3,0.0,401.0,4.0,,,
7469,12,2021-06-29,1,0.0,3077.0,7.0,,,
7470,11,2021-06-29,1,0.0,138.0,0.0,,,
7471,60,2021-06-29,24,0.0,0.0,0.0,,,
7472,61,2021-06-29,0,0.0,13.0,0.0,,,
7473,62,2021-06-29,0,0.0,63.0,0.0,,,
7474,99,2021-06-29,0,0.0,0.0,0.0,,,
7475,1,2021-06-29,602,31.0,61585.0,936.0,,,
7476,59,2021-06-30,43,0.0,2747.0,101.0,,,
