,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
4242,61,20201214,0.0,0.0,0.0,62.0,0.0,1.2983506020002016,0.0,74.73750891015328,0.0,1.6857142857142857,0.0,5585.695238095242,0.0,3.642169959359949,,1.573114413296267,,13.563631140476895,,2.300808972988134,
4257,61,20201215,0.0,0.0,0.0,66.0,0.0,1.3020130933435712,0.0,71.91807508415063,0.0,1.6952380952380952,0.0,5172.209523809527,0.0,3.4445695660162263,,1.6415938746237473,,12.408543987258794,,2.604429487430026,
4272,61,20201216,0.0,0.0,0.0,74.0,0.0,1.3020130933435712,0.0,72.73611796860526,0.0,1.6952380952380952,0.0,5290.542857142861,0.0,3.4445695660162263,,1.3260205280263382,,12.408543987258794,,1.175158454370778,
4287,61,20201217,0.0,0.0,0.0,79.0,0.0,1.3020130933435712,0.0,72.2974675180522,0.0,1.6952380952380952,0.0,5226.923809523812,0.0,3.2766227361449425,,1.2929983186667675,,11.490827692696152,,1.1619956612003903,
4302,61,20201218,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,72.38212091788574,0.0,1.6857142857142857,0.0,5239.171428571432,0.0,3.1360619749327547,,1.2924393681803112,,10.779285351247417,,1.1541692232215068,
4317,61,20201219,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,72.31129793831536,0.0,1.6857142857142857,0.0,5228.923809523812,0.0,3.1360619749327547,,1.291534543719759,,10.779285351247417,,1.1592770500380367,
4332,61,20201220,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,72.25055610265474,0.0,1.6857142857142857,0.0,5220.1428571428605,0.0,3.1360619749327547,,1.2940748934593322,,10.779285351247417,,1.165755373928064,
4347,61,20201221,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,75.66511431174558,1.5491933384829666,1.6857142857142857,0.0,5725.209523809527,2.3999999999999995,3.1360619749327547,,1.1542145809699447,3.87298334620742,10.779285351247417,,0.8592047313991293,15.000000000000027
4362,61,20201222,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,76.54765089238768,1.5491933384829666,1.6857142857142857,0.0,5859.542857142859,2.3999999999999995,3.1360619749327547,,1.1158986201897365,3.87298334620742,10.779285351247417,,0.7802543816539097,15.000000000000027
4377,61,20201223,0.0,0.0,0.0,79.0,0.0,1.2983506020002016,0.0,75.01568090041164,1.5976172734359602,1.6857142857142857,0.0,5627.352380952383,2.5523809523809518,3.1360619749327547,,1.1813212155571546,3.3258483894540096,10.779285351247417,,0.9188078556045696,11.391178436177333
4392,61,20201224,0.0,0.0,0.0,74.0,0.0,1.2983506020002016,0.0,75.17294346087182,1.5976172734359602,1.6857142857142857,0.0,5650.971428571431,2.5523809523809518,3.1360619749327547,,1.196416631703616,3.3258483894540096,10.779285351247417,,0.9255542815268726,11.391178436177333
4407,61,20201225,0.0,0.0,0.0,71.0,0.0,1.2983506020002016,0.0,77.04049646282206,1.5976172734359602,1.6857142857142857,0.0,5935.238095238098,2.5523809523809518,3.1360619749327547,,1.2291162287599473,3.3258483894540096,10.779285351247417,,0.8396356288375761,11.391178436177333
4422,61,20201226,0.0,0.0,0.0,64.0,0.0,0.4577377082170635,0.0,77.67465726317937,1.5976172734359602,0.20952380952380958,0.0,6033.352380952383,2.5523809523809518,1.176353900487957,,1.338858231730688,3.3258483894540096,-0.7342657342649681,,0.9940451760096917,11.391178436177333
4437,61,20201227,0.0,0.0,0.0,55.0,0.0,0.4140393356054126,0.0,61.54069501441419,1.5976172734359602,0.17142857142857149,0.0,3787.2571428571437,2.5523809523809518,1.6720819322526783,,1.3223950470959773,3.3258483894540096,0.897435897436718,,1.2325041734943698,11.391178436177333
4452,61,20201228,0.0,0.0,0.0,51.0,0.0,0.4140393356054126,0.0,48.68391736008731,1.5976172734359602,0.17142857142857149,0.0,2370.12380952381,2.5523809523809518,1.6720819322526783,,1.3951384700016847,3.3258483894540096,0.897435897436718,,2.2723606168717296,11.391178436177333
4467,61,20201229,0.0,0.0,0.0,48.0,0.0,0.4140393356054126,0.0,44.66190450804482,1.594633858557237,0.17142857142857149,0.0,1994.685714285714,2.5428571428571423,1.6720819322526783,,1.8974537843431754,3.2048930321318507,0.897435897436718,,5.157320033017377,10.773649403241626
4482,61,20201230,0.0,0.0,0.0,38.0,0.0,0.3518657752744985,0.0,44.66190450804481,1.594633858557237,0.12380952380952388,0.0,1994.6857142857139,2.5428571428571423,2.404763138710466,,2.120006411637365,3.2048930321318507,4.349112426039483,,5.924916654418185,10.773649403241626
4497,61,20201231,0.0,0.0,0.0,38.0,0.0,0.3518657752744985,0.0,26.176507097195437,1.594633858557237,0.12380952380952388,0.0,685.2095238095231,2.5428571428571423,2.404763138710466,,0.1486450999758954,3.2048930321318507,4.349112426039483,,-1.0720930210790358,10.773649403241626
4512,61,20210101,0.0,0.0,0.0,38.0,0.0,0.25819888974716126,0.0,24.58357949836395,1.594633858557237,0.06666666666666675,0.0,604.3523809523803,2.5428571428571423,3.87298334620729,,-0.030405124224635906,3.2048930321318507,14.999999999994065,,-1.293594156360873,10.773649403241626
4527,61,20210102,0.0,0.0,0.0,38.0,0.0,0.0,0.0,24.243408529801588,1.594633858557237,0.0,0.0,587.7428571428563,2.5428571428571423,,,0.10219326833821174,3.2048930321318507,,,-1.160578661149446,10.773649403241626
4542,61,20210103,0.0,0.0,0.0,36.0,0.0,0.0,0.0,23.73424289321833,1.594633858557237,0.0,0.0,563.3142857142848,2.5428571428571423,,,0.40411019780526375,3.2048930321318507,,,-0.8782358253528085,10.773649403241626
4557,61,20210104,0.0,0.0,0.0,30.0,0.0,0.0,0.0,24.96702587318682,1.594633858557237,0.0,0.0,623.35238095238,2.5428571428571423,,,0.4978103983727021,3.2048930321318507,,,-1.0136912217443101,10.773649403241626
4572,61,20210105,0.0,0.0,0.0,30.0,0.0,0.0,0.0,24.183426044257963,0.5606119105813876,0.0,0.0,584.8380952380943,0.3142857142857138,,,0.537900109907968,2.918888460051841,,,-0.9217727959642343,8.388429752065724
4587,61,20210106,0.0,0.0,0.0,36.0,0.0,0.0,0.0,23.96266937988176,0.5606119105813876,0.0,0.0,574.2095238095229,0.3142857142857138,,,0.27531981882709794,2.918888460051841,,,-1.068719906513704,8.388429752065724
4602,61,20210107,0.0,0.0,0.0,39.0,0.0,0.0,0.0,28.343471575521235,0.2581988897471602,0.0,0.0,803.3523809523803,0.06666666666666618,,,0.4077487050713928,3.87298334620729,,,-0.8547504700809722,14.999999999994065
4617,61,20210108,0.0,0.0,0.0,39.0,0.0,0.0,0.0,27.704563832387915,0.2581988897471602,0.0,0.0,767.5428571428565,0.06666666666666618,,,0.447828898080108,3.87298334620729,,,-0.6418349923445066,14.999999999994065
4632,61,20210109,0.0,0.0,0.0,48.0,0.0,0.0,0.0,27.741665415039513,0.2581988897471602,0.0,0.0,769.5999999999995,0.06666666666666618,,,0.2600391889791799,3.87298334620729,,,-0.7656035824514953,14.999999999994065
4647,61,20210110,0.0,0.0,0.0,48.0,0.0,0.0,0.0,30.331972758601953,0.2581988897471602,0.0,0.0,920.028571428571,0.06666666666666618,,,0.22199113981419896,3.87298334620729,,,-1.159948058257361,14.999999999994065
4662,61,20210111,0.0,0.0,0.0,48.0,0.0,0.0,0.0,29.546089903258405,0.2581988897471602,0.0,0.0,872.9714285714282,0.06666666666666618,,,0.2841414015498947,3.87298334620729,,,-1.1577609865528582,14.999999999994065
4677,61,20210112,0.0,0.0,0.0,48.0,0.0,0.0,0.0,29.80460175399573,0.2581988897471602,0.0,0.0,888.3142857142853,0.06666666666666618,,,0.26391154912935516,3.87298334620729,,,-1.1607078980089078,14.999999999994065
