,pruid,date,Class
278,1.0,2020-12-18,0.0
279,1.0,2020-12-19,0.0
280,1.0,2020-12-20,0.0
281,1.0,2020-12-21,0.0
282,1.0,2020-12-22,0.0
283,1.0,2020-12-23,0.0
284,1.0,2020-12-24,0.0
285,1.0,2020-12-25,0.0
286,1.0,2020-12-26,0.0
287,1.0,2020-12-27,0.0
288,1.0,2020-12-28,0.0
289,1.0,2020-12-29,0.0
290,1.0,2020-12-30,0.0
291,1.0,2020-12-31,0.0
292,1.0,2021-01-01,0.0
293,1.0,2021-01-02,0.0
294,1.0,2021-01-03,0.0
295,1.0,2021-01-04,0.0
296,1.0,2021-01-05,0.0
297,1.0,2021-01-06,0.0
298,1.0,2021-01-07,0.0
299,1.0,2021-01-08,0.0
300,1.0,2021-01-09,0.0
301,1.0,2021-01-10,0.0
302,1.0,2021-01-11,0.0
303,1.0,2021-01-12,0.0
304,1.0,2021-01-13,0.0
305,1.0,2021-01-14,0.0
306,1.0,2021-01-15,0.0
307,1.0,2021-01-16,0.0
308,1.0,2021-01-17,0.0
309,1.0,2021-01-18,0.0
310,1.0,2021-01-19,0.0
311,1.0,2021-01-20,0.0
312,1.0,2021-01-21,0.0
313,1.0,2021-01-22,0.0
314,1.0,2021-01-23,0.0
315,1.0,2021-01-24,0.0
316,1.0,2021-01-25,0.0
317,1.0,2021-01-26,0.0
318,1.0,2021-01-27,0.0
319,1.0,2021-01-28,0.0
320,1.0,2021-01-29,0.0
321,1.0,2021-01-30,0.0
322,1.0,2021-01-31,0.0
323,1.0,2021-02-01,0.0
324,1.0,2021-02-02,0.0
325,1.0,2021-02-03,0.0
326,1.0,2021-02-04,0.0
327,1.0,2021-02-05,0.0
328,1.0,2021-02-06,0.0
329,1.0,2021-02-07,0.0
330,1.0,2021-02-08,0.0
331,1.0,2021-02-09,0.0
332,1.0,2021-02-10,0.0
333,1.0,2021-02-11,0.0
334,1.0,2021-02-12,0.0
335,1.0,2021-02-13,0.0
336,1.0,2021-02-14,0.0
337,1.0,2021-02-15,0.0
338,1.0,2021-02-16,0.0
339,1.0,2021-02-17,0.0
340,1.0,2021-02-18,0.0
341,1.0,2021-02-19,0.0
342,1.0,2021-02-20,0.0
343,1.0,2021-02-21,0.0
344,1.0,2021-02-22,0.0
345,1.0,2021-02-23,0.0
346,1.0,2021-02-24,0.0
347,1.0,2021-02-25,0.0
348,1.0,2021-02-26,0.0
349,1.0,2021-02-27,0.0
350,1.0,2021-02-28,1.0
351,1.0,2021-03-01,1.0
352,1.0,2021-03-02,1.0
353,1.0,2021-03-03,1.0
354,1.0,2021-03-04,0.0
355,1.0,2021-03-05,0.0
356,1.0,2021-03-06,0.0
357,1.0,2021-03-07,0.0
358,1.0,2021-03-08,0.0
359,1.0,2021-03-09,0.0
360,1.0,2021-03-10,0.0
361,1.0,2021-03-11,0.0
362,1.0,2021-03-12,0.0
363,1.0,2021-03-13,0.0
364,1.0,2021-03-14,0.0
365,1.0,2021-03-15,0.0
366,1.0,2021-03-16,0.0
