,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
2680,99,20200901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38056268178244,43.143475716467314,0.26070884856979415,0.2837633234853009,1446.7758662022752,1391.6092920677647,31.490149846838097,30.857830492564304
2695,99,20200902,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85890355051621,43.16402144425998,0.2497164541772519,0.283202971349769,1439.3332831477721,1393.3453904724238,31.90587372578791,30.87426147369169
2710,99,20200903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4280088888544,43.16906478424396,0.2393864777217059,0.28268096292948947,1428.8748919392826,1395.034472060764,32.36035224003511,30.869514602591632
2725,99,20200904,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.06820738899977,43.15831464867648,0.23016669176590404,0.2821732109127368,1415.9909473501239,1396.67505038721,32.84198227164306,30.842780911360087
2740,99,20200905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.72986464521784,43.13140820881896,0.22222287236428093,0.2816646262108051,1401.591699140895,1398.2678667885143,33.33146500003428,30.793199758296108
2755,99,20200906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.369959373881315,43.08865523278497,0.2160040830086333,0.2811531026924456,1386.7465722152363,1399.816342945776,33.80484057013749,30.720548618875906
2770,99,20200907,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.974151431158226,43.03115720673765,0.21214772906764676,0.2806412523585591,1372.1211981886006,1401.3220564187782,34.24159216787104,30.625533623381664
2785,99,20200908,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5298633899518,42.96091053401563,0.21075993482062805,0.2801347518584683,1357.6159824934334,1402.7817945417992,34.625879169241074,30.509641060644952
2800,99,20200909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.052488267749716,42.88028469368426,0.21168883014052778,0.2796342511306903,1342.876756386573,1404.1891369721525,34.98382211268899,30.37477619671397
2815,99,20200910,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.55152601586741,42.79149339126938,0.21477548544392575,0.2791366766560494,1327.9122003951725,1405.5369183543169,35.352581158188336,30.22289596610496
2830,99,20200911,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.021533039776976,42.696092001908816,0.21948081151337032,0.278635011113032,1313.2611267456318,1406.8184918398115,35.75808709142847,30.055630391400925
2845,99,20200912,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.427195649580575,42.5948307832364,0.22536978766365096,0.2781299804072255,1299.7068582643662,1408.0268970072266,36.18051596865138,29.874110581509807
2860,99,20200913,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72944160940083,42.48858000886569,0.23223391721154946,0.27763012680014343,1287.9792484193144,1409.156982592267,36.57491836625828,29.679804631375006
2875,99,20200914,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.90866787222585,42.379118073370655,0.24011469655678566,0.2771560665971748,1278.431672685037,1410.211196975515,36.907649113811516,29.475034896169685
2890,99,20200915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.929545940003,42.26888014773877,0.24866186576473062,0.2767354665462418,1271.1277623254996,1411.2055790955621,37.14917831342007,29.262652082347532
2905,99,20200916,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.77612303896508,42.160509286621945,0.25756799316952617,0.2763939814068563,1266.078240048844,1412.168750072656,37.27832207210867,29.04581551887203
2920,99,20200917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.43247932148033,42.05672995593207,0.2668169957562815,0.2761537769198392,1263.3164436081659,1413.1347970874192,37.26232257277562,28.82739142518161
2935,99,20200918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.880295395464934,41.96036127914316,0.2763926925607559,0.27602636431665123,1262.744187651966,1414.1396866792263,37.074579757079746,28.60912244161754
2950,99,20200919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.08511257199438,41.87446061771093,0.28626202774529963,0.27601561451072265,1264.374894049859,1415.2241425922086,36.68333544430227,28.391777059799885
2965,99,20200920,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03615297266035,41.80171385343448,0.2960965710031665,0.2761253493334629,1268.1693218186251,1416.430396457062,36.08154011517364,28.175761683738493
2980,99,20200921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.771667211563546,41.74455701388469,0.30533806932181506,0.2763651621660571,1273.6979763179643,1417.7919740665507,35.30758940196547,27.961893011871048
2995,99,20200922,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.36282072288974,41.705261859553325,0.31347048236591774,0.2767445999882152,1280.191985574781,1419.3350946275216,34.422431542041686,27.75124028793571
3010,99,20200923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.865629077633876,41.68542373866973,0.31989319384419423,0.277269079599361,1286.848862072818,1421.0858473440235,33.46319889611625,27.54445614576271
3025,99,20200924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.345553080757306,41.685917772894136,0.32423323346221544,0.27794483554267924,1293.5700364871063,1423.0694811512622,32.45739589564604,27.341714773103973
3040,99,20200925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.86009103434774,41.70718938417049,0.32603606311162464,0.27877732067660427,1300.7238773252257,1425.3088922216537,31.425544649453972,27.142514324824855
3055,99,20200926,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.43487363626182,41.749402172991594,0.32524553285997715,0.27977357799636887,1308.2740863702975,1427.829326901878,30.360640597299046,26.94572984483968
3070,99,20200927,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.07610585948886,41.81300290640525,0.3222807507315695,0.28094600831475447,1315.578018492886,1430.6584178953253,29.25361107441385,26.750350436148914
3085,99,20200928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75868431248557,41.89855408867962,0.3178427671176454,0.28230056338503257,1322.3726900504728,1433.8183550063509,28.08836805446382,26.55579733255578
3100,99,20200929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4399382812395,42.00644470678121,0.31267252264876877,0.28383091434569496,1328.9569345197426,1437.3250936908119,26.831311520293497,26.36136607699808
3115,99,20200930,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.147675656226845,42.13633337793556,0.30743097951635096,0.2855258849481353,1335.6626333393112,1441.189941152241,25.486613699693265,26.166121302783047
3130,99,20201001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94641899841587,42.28737277710983,0.3022494313272762,0.28737302426571015,1342.4411127915382,1445.4168688604004,24.09096303019266,25.969161055191123
3145,99,20201002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.89920968287431,42.45872492827589,0.29673269571232697,0.2893555514504462,1349.2869284208052,1450.010717066792,22.692036608469135,25.7696239788535
