,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
214,13,20200321,6,0.0,225.0,0.0
215,12,20200321,6,0.0,309.0,0.0
216,11,20200321,0,0.0,0.0,0.0
217,60,20200321,0,0.0,416.0,0.0
218,61,20200321,1,0.0,33.0,0.0
219,62,20200321,0,0.0,2.0,0.0
220,99,20200321,0,0.0,0.0,0.0
221,1,20200321,367,5.0,12069.0,0.0
222,59,20200322,0,0.0,1718.0,0.0
223,48,20200322,33,0.0,3939.0,0.0
224,47,20200322,8,0.0,600.0,0.0
225,46,20200322,0,0.0,268.0,0.0
226,35,20200322,48,2.0,3100.0,0.0
227,24,20200322,0,0.0,0.0,0.0
228,10,20200322,3,0.0,0.0,0.0
229,13,20200322,0,0.0,59.0,0.0
230,12,20200322,7,0.0,254.0,0.0
231,11,20200322,1,0.0,0.0,0.0
232,60,20200322,0,0.0,0.0,0.0
233,61,20200322,0,0.0,0.0,0.0
234,62,20200322,0,0.0,3.0,0.0
235,99,20200322,0,0.0,0.0,0.0
236,1,20200322,100,2.0,9941.0,0.0
237,59,20200323,48,3.0,1325.0,0.0
238,48,20200323,42,0.0,2758.0,0.0
239,47,20200323,14,0.0,723.0,0.0
240,46,20200323,1,0.0,197.0,0.0
241,35,20200323,78,1.0,2118.0,0.0
242,24,20200323,407,0.0,0.0,0.0
243,10,20200323,15,0.0,595.0,0.0
244,13,20200323,0,0.0,215.0,0.0
245,12,20200323,13,0.0,198.0,0.0
246,11,20200323,0,0.0,131.0,0.0
247,60,20200323,2,0.0,0.0,0.0
248,61,20200323,0,0.0,63.0,0.0
249,62,20200323,0,0.0,0.0,0.0
250,99,20200323,0,0.0,47.0,0.0
251,1,20200323,620,4.0,8370.0,0.0
252,59,20200324,145,0.0,2845.0,0.0
253,48,20200324,57,1.0,3019.0,0.0
254,47,20200324,6,0.0,474.0,0.0
255,46,20200324,1,0.0,273.0,0.0
256,35,20200324,85,2.0,4039.0,0.0
257,24,20200324,385,0.0,6532.0,0.0
258,10,20200324,11,0.0,193.0,0.0
259,13,20200324,1,0.0,122.0,0.0
260,12,20200324,10,0.0,233.0,0.0
261,11,20200324,0,0.0,0.0,0.0
262,60,20200324,0,0.0,0.0,0.0
263,61,20200324,0,0.0,117.0,0.0
264,62,20200324,0,0.0,68.0,0.0
265,99,20200324,0,0.0,0.0,0.0
266,1,20200324,701,3.0,17915.0,0.0
267,59,20200325,42,1.0,2039.0,0.0
268,48,20200325,61,0.0,2732.0,0.0
269,47,20200325,14,0.0,507.0,0.0
270,46,20200325,14,0.0,334.0,0.0
271,35,20200325,100,5.0,3313.0,0.0
272,24,20200325,326,2.0,12757.0,0.0
273,10,20200325,32,0.0,148.0,0.0
274,13,20200325,8,0.0,419.0,0.0
275,12,20200325,17,0.0,367.0,0.0
276,11,20200325,2,0.0,95.0,0.0
277,60,20200325,1,0.0,0.0,0.0
278,61,20200325,0,0.0,0.0,0.0
279,62,20200325,0,0.0,16.0,0.0
280,99,20200325,0,0.0,0.0,0.0
281,1,20200325,617,8.0,22727.0,0.0
282,59,20200326,66,0.0,1894.0,186.0
283,48,20200326,67,0.0,1092.0,27.0
284,47,20200326,9,0.0,618.0,3.0
285,46,20200326,1,0.0,689.0,1.0
286,35,20200326,170,2.0,3177.0,8.0
287,24,20200326,290,2.0,5483.0,2.0
288,10,20200326,15,0.0,212.0,0.0
289,13,20200326,7,0.0,169.0,0.0
290,12,20200326,5,0.0,409.0,2.0
291,11,20200326,4,0.0,52.0,1.0
